intervention,random,train_biases,train_accuracy,val_accuracy,val_intervention_accuracy,test_accuracy,test_accuracy_flipped,test_intervention_accuracy,test_intervention_accuracy_flipped,seed
none,False,1.0,1,1.0,1.0,0.05714285373687744,0.9428572058677672,0.05714285373687744,0.9428572058677672,42
sae_ablation,False,1.0,1,0.9937500357627868,1.0,0.6901785731315613,0.3098214268684387,0.8357143402099609,0.16428570449352264,42
sae_ablation,False,1.0,1,0.9937500357627868,0.9937500357627868,0.6330357193946838,0.36696431040763855,0.8812500238418579,0.11874999850988388,1
sae_ablation,False,1.0,1,1.0,1.0,0.7794643044471741,0.22053571045398712,0.8991071581840515,0.10089285671710968,2
none,False,1.0,1,1.0,1.0,0.08839285373687744,0.9116072058677672,0.08839285373687744,0.9116072058677672,1
none,False,1.0,1,1.0,1.0,0.10625000298023224,0.893750011920929,0.10625000298023224,0.893750011920929,2
none,False,1.0,1,1.0,1.0,0.08749999850988388,0.912500023841858,0.08749999850988388,0.912500023841858,3
none,False,1.0,1,1.0,1.0,0.07500000298023224,0.925000011920929,0.07500000298023224,0.925000011920929,4
sae_ablation,False,1.0,1,0.9937500357627868,0.9937500357627868,0.6776785850524902,0.32232141494750977,0.8366071581840515,0.16339285671710968,3
sae_ablation,False,1.0,1,0.9937500357627868,1.0,0.6517857313156128,0.3482142984867096,0.8116071820259094,0.18839286267757416,4
none,False,0.5,1,0.9937500357627868,0.9937500357627868,0.9937500357627868,0.0062500000931322575,0.9937500357627868,0.0062500000931322575,1
none,False,0.5,1,0.9937500357627868,0.9937500357627868,1.0,0.0,1.0,0.0,2
none,False,0.5,1,0.9803571701049804,0.9803571701049804,0.9803571701049804,0.01964285783469677,0.9803571701049804,0.01964285783469677,3
none,False,0.5,1,0.9937500357627868,0.9937500357627868,1.0,0.0,1.0,0.0,4
none,False,0.5,1,0.9937500357627868,0.9937500357627868,1.0,0.0,1.0,0.0,42
sae_ablation,True,1.0,1,0.9937500357627868,1.0,0.20714285969734192,0.7928571701049805,0.18214285373687744,0.8178572058677673,0
sae_ablation,True,1.0,1,0.987500011920929,0.9937500357627868,0.18928571045398712,0.8107143640518188,0.17589285969734192,0.8241071701049805,1
sae_ablation,True,1.0,1,1.0,1.0,0.16428570449352264,0.8357143402099609,0.23482142388820648,0.7651786208152771,2
sae_ablation,True,1.0,1,0.981249988079071,1.0,0.18392857909202576,0.8160714507102966,0.22053571045398712,0.7794643044471741,3
sae_ablation,True,1.0,1,0.7214285731315613,1.0,0.5089285969734192,0.4910714328289032,0.6821428537368774,0.31785714626312256,4
sae_ablation,False,1.0,1,0.9937500357627868,1.0,0.7151786088943481,0.28482142090797424,0.875,0.125,0
sae_ablation,False,1.0,1,0.7276785969734192,0.6767857074737549,0.44107142090797424,0.5589286088943481,0.6071428656578064,0.392857164144516,1