dataset_a,dataset_b,interpretation,intervention,ablated_dataset,train_accuracy,val_accuracy,val_intervention_accuracy,test_accuracy,test_accuracy_flipped,test_intervention_accuracy,test_intervention_accuracy_flipped,seed,dataset_pair,sorted_pair
SVA,pronouns,auto,sae ablation,pronouns,1.0,0.9638158082962036,1.0,0.04276315867900848,0.9572368264198304,0.0,1.0,42,"([XXX]/subject-verb-agreement, pronouns)","('SVA', 'pronouns')"
SVA,pronouns,auto,sae ablation,pronouns,1.0,0.9506579041481018,1.0,0.04276315867900848,0.9572368264198304,0.0,1.0,1,"([XXX]/subject-verb-agreement, pronouns)","('SVA', 'pronouns')"
SVA,pronouns,auto,sae ablation,pronouns,1.0,0.862938642501831,1.0,0.13486842811107635,0.8651315569877625,0.0,1.0,2,"([XXX]/subject-verb-agreement, pronouns)","('SVA', 'pronouns')"
SVA,pronouns,auto,sae ablation,pronouns,1.0,0.9342105388641356,1.0,0.04276315867900848,0.9572368264198304,0.0,1.0,3,"([XXX]/subject-verb-agreement, pronouns)","('SVA', 'pronouns')"
SVA,pronouns,auto,sae ablation,pronouns,1.0,0.939693033695221,1.0,0.0625,0.9375,0.0,1.0,4,"([XXX]/subject-verb-agreement, pronouns)","('SVA', 'pronouns')"
pronouns,SVA,auto,sae ablation,pronouns,1.0,0.550438642501831,1.0,0.44078949093818665,0.5592105388641357,1.0,0.0,42,"(pronouns, [XXX]/subject-verb-agreement)","('SVA', 'pronouns')"
pronouns,SVA,auto,sae ablation,pronouns,1.0,0.5285087823867798,1.0,0.43969300389289856,0.5603070259094238,1.0,0.0,1,"(pronouns, [XXX]/subject-verb-agreement)","('SVA', 'pronouns')"
pronouns,SVA,auto,sae ablation,pronouns,1.0,0.5263158082962036,1.0,0.4517544209957123,0.5482456088066101,1.0,0.0,2,"(pronouns, [XXX]/subject-verb-agreement)","('SVA', 'pronouns')"
pronouns,SVA,auto,sae ablation,pronouns,1.0,0.581140398979187,1.0,0.4451754689216614,0.5548245906829834,1.0,0.0,3,"(pronouns, [XXX]/subject-verb-agreement)","('SVA', 'pronouns')"
pronouns,SVA,auto,sae ablation,pronouns,1.0,0.5668860077857971,1.0,0.4660087823867798,0.533991277217865,1.0,0.0,4,"(pronouns, [XXX]/subject-verb-agreement)","('SVA', 'pronouns')"
SVA,sentiment,auto,sae ablation,SVA,0.5625,0.5462661981582642,0.5227273106575012,0.47159093618392944,0.5284091234207153,0.5170454978942871,0.48295456171035767,42,"([XXX]/subject-verb-agreement, sentiment)","('SVA', 'sentiment')"
SVA,sentiment,auto,sae ablation,SVA,0.6875,0.5284091234207153,0.5673701763153076,0.4943181872367859,0.5056818127632141,0.5284091234207153,0.47159093618392944,1,"([XXX]/subject-verb-agreement, sentiment)","('SVA', 'sentiment')"
SVA,sentiment,auto,sae ablation,sentiment,1.0,0.994318187236786,1.0,0.9772727489471436,0.022727273404598236,1.0,0.0,42,"([XXX]/subject-verb-agreement, sentiment)","('SVA', 'sentiment')"
SVA,sentiment,auto,sae ablation,SVA,0.4375,0.6485389471054077,0.5503247380256653,0.4545454680919647,0.5454545617103577,0.4772727489471435,0.5227273106575012,2,"([XXX]/subject-verb-agreement, sentiment)","('SVA', 'sentiment')"
SVA,sentiment,auto,sae ablation,sentiment,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,"([XXX]/subject-verb-agreement, sentiment)","('SVA', 'sentiment')"
SVA,sentiment,auto,sae ablation,SVA,0.625,0.5097402930259705,0.5754870176315308,0.46590909361839294,0.5340909361839294,0.4318181872367859,0.5681818127632141,3,"([XXX]/subject-verb-agreement, sentiment)","('SVA', 'sentiment')"
SVA,sentiment,auto,sae ablation,sentiment,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2,"([XXX]/subject-verb-agreement, sentiment)","('SVA', 'sentiment')"
SVA,sentiment,auto,sae ablation,SVA,0.5625,0.614448070526123,0.4821428954601288,0.4545454680919647,0.5454545617103577,0.5909091234207153,0.40909093618392944,4,"([XXX]/subject-verb-agreement, sentiment)","('SVA', 'sentiment')"
SVA,sentiment,auto,sae ablation,sentiment,1.0,1.0,1.0,0.9829545617103576,0.017045455053448677,1.0,0.0,3,"([XXX]/subject-verb-agreement, sentiment)","('SVA', 'sentiment')"
SVA,sentiment,auto,sae ablation,sentiment,1.0,1.0,1.0,0.9886363744735718,0.011363636702299118,1.0,0.0,4,"([XXX]/subject-verb-agreement, sentiment)","('SVA', 'sentiment')"
sentiment,SVA,auto,sae ablation,sentiment,1.0,0.9886363744735718,1.0,0.0625,0.9375,0.011363636702299118,0.9886363744735718,42,"(sentiment, [XXX]/subject-verb-agreement)","('SVA', 'sentiment')"
sentiment,SVA,auto,sae ablation,SVA,1.0,0.948863685131073,0.948863685131073,0.9602273106575012,0.03977272659540176,0.948863685131073,0.05113636702299118,42,"(sentiment, [XXX]/subject-verb-agreement)","('SVA', 'sentiment')"
sentiment,SVA,auto,sae ablation,sentiment,1.0,1.0,1.0,0.04545454680919647,0.9545454978942872,0.005681818351149559,0.994318187236786,1,"(sentiment, [XXX]/subject-verb-agreement)","('SVA', 'sentiment')"
sentiment,SVA,auto,sae ablation,sentiment,1.0,0.994318187236786,1.0,0.0,1.0,0.0,1.0,2,"(sentiment, [XXX]/subject-verb-agreement)","('SVA', 'sentiment')"
sentiment,SVA,auto,sae ablation,SVA,1.0,0.9537338018417358,0.9480519890785216,0.9545454978942872,0.04545454680919647,0.9602273106575012,0.03977272659540176,1,"(sentiment, [XXX]/subject-verb-agreement)","('SVA', 'sentiment')"
sentiment,SVA,auto,sae ablation,sentiment,1.0,0.9886363744735718,0.994318187236786,0.022727273404598236,0.9772727489471436,0.0,1.0,3,"(sentiment, [XXX]/subject-verb-agreement)","('SVA', 'sentiment')"
sentiment,SVA,auto,sae ablation,SVA,1.0,0.9545454978942872,0.9375,0.9204545617103576,0.07954545319080353,0.9034091234207152,0.09659091383218764,2,"(sentiment, [XXX]/subject-verb-agreement)","('SVA', 'sentiment')"
sentiment,SVA,auto,sae ablation,sentiment,1.0,0.9886363744735718,1.0,0.05681818351149559,0.9431818723678588,0.011363636702299118,0.9886363744735718,4,"(sentiment, [XXX]/subject-verb-agreement)","('SVA', 'sentiment')"
sentiment,SVA,auto,sae ablation,SVA,1.0,0.9659091234207152,0.9829545617103576,0.931818187236786,0.06818182021379471,0.9034091234207152,0.09659091383218764,3,"(sentiment, [XXX]/subject-verb-agreement)","('SVA', 'sentiment')"
sentiment,SVA,auto,sae ablation,SVA,1.0,0.9659091234207152,0.9829545617103576,0.931818187236786,0.06818182021379471,0.9375,0.0625,4,"(sentiment, [XXX]/subject-verb-agreement)","('SVA', 'sentiment')"
SVA,sports,auto,sae ablation,sports,1.0,1.0,1.0,1.0,0.0,1.0,0.0,42,"([XXX]/subject-verb-agreement, [XXX]/sports-gemma-2-2b-top-1000)","('SVA', 'sports')"
SVA,sports,auto,sae ablation,sports,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,"([XXX]/subject-verb-agreement, [XXX]/sports-gemma-2-2b-top-1000)","('SVA', 'sports')"
SVA,sports,auto,sae ablation,sports,1.0,1.0,0.9937500357627868,0.949999988079071,0.05000000074505806,0.9937500357627868,0.0062500000931322575,2,"([XXX]/subject-verb-agreement, [XXX]/sports-gemma-2-2b-top-1000)","('SVA', 'sports')"
SVA,sports,auto,sae ablation,sports,1.0,1.0,1.0,0.977083384990692,0.02291666716337204,1.0,0.0,3,"([XXX]/subject-verb-agreement, [XXX]/sports-gemma-2-2b-top-1000)","('SVA', 'sports')"
SVA,sports,auto,sae ablation,sports,1.0,1.0,0.9937500357627868,0.7666667103767395,0.23333334922790527,0.96875,0.03125,4,"([XXX]/subject-verb-agreement, [XXX]/sports-gemma-2-2b-top-1000)","('SVA', 'sports')"
sports,SVA,auto,sae ablation,sports,1.0,1.0,0.9937500357627868,0.012500000186264517,0.987500011920929,0.0062500000931322575,0.9937500357627868,42,"([XXX]/sports-gemma-2-2b-top-1000, [XXX]/subject-verb-agreement)","('SVA', 'sports')"
sports,SVA,auto,sae ablation,sports,1.0,0.9937500357627868,0.981249988079071,0.02500000037252903,0.975000023841858,0.0062500000931322575,0.9937500357627868,1,"([XXX]/sports-gemma-2-2b-top-1000, [XXX]/subject-verb-agreement)","('SVA', 'sports')"
sports,SVA,auto,sae ablation,sports,1.0,1.0,1.0,0.03750000149011612,0.9625000357627868,0.0062500000931322575,0.9937500357627868,2,"([XXX]/sports-gemma-2-2b-top-1000, [XXX]/subject-verb-agreement)","('SVA', 'sports')"
sports,SVA,auto,sae ablation,sports,1.0,0.9937500357627868,0.981249988079071,0.02500000037252903,0.975000023841858,0.0,1.0,3,"([XXX]/sports-gemma-2-2b-top-1000, [XXX]/subject-verb-agreement)","('SVA', 'sports')"
sports,SVA,auto,sae ablation,sports,1.0,1.0,1.0,0.0062500000931322575,0.9937500357627868,0.0,1.0,4,"([XXX]/sports-gemma-2-2b-top-1000, [XXX]/subject-verb-agreement)","('SVA', 'sports')"
pronouns,sentiment,auto,sae ablation,pronouns,1.0,0.9423701763153076,1.0,0.5852273106575012,0.4147727489471435,0.9829545617103576,0.017045455053448677,42,"(pronouns, sentiment)","('pronouns', 'sentiment')"
pronouns,sentiment,auto,sae ablation,pronouns,1.0,0.9829545617103576,1.0,0.823863685131073,0.17613637447357178,0.9602273106575012,0.03977272659540176,1,"(pronouns, sentiment)","('pronouns', 'sentiment')"
pronouns,sentiment,auto,sae ablation,pronouns,1.0,0.9139611124992372,1.0,0.6420454978942871,0.35795456171035767,1.0,0.0,2,"(pronouns, sentiment)","('pronouns', 'sentiment')"
pronouns,sentiment,auto,sae ablation,pronouns,1.0,0.9829545617103576,1.0,0.698863685131073,0.3011363744735718,0.9375,0.0625,3,"(pronouns, sentiment)","('pronouns', 'sentiment')"
pronouns,sentiment,auto,sae ablation,pronouns,1.0,0.9537338018417358,1.0,0.6704545617103577,0.3295454680919647,0.994318187236786,0.005681818351149559,4,"(pronouns, sentiment)","('pronouns', 'sentiment')"
sentiment,pronouns,auto,sae ablation,pronouns,1.0,1.0,1.0,0.005681818351149559,0.994318187236786,0.005681818351149559,0.994318187236786,42,"(sentiment, pronouns)","('pronouns', 'sentiment')"
sentiment,pronouns,auto,sae ablation,pronouns,1.0,1.0,1.0,0.017045455053448677,0.9829545617103576,0.0,1.0,1,"(sentiment, pronouns)","('pronouns', 'sentiment')"
sentiment,pronouns,auto,sae ablation,pronouns,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2,"(sentiment, pronouns)","('pronouns', 'sentiment')"
sentiment,pronouns,auto,sae ablation,pronouns,1.0,0.994318187236786,1.0,0.034090910106897354,0.9659091234207152,0.022727273404598236,0.9772727489471436,3,"(sentiment, pronouns)","('pronouns', 'sentiment')"
sentiment,pronouns,auto,sae ablation,pronouns,1.0,0.9886363744735718,1.0,0.09659091383218764,0.9034091234207152,0.005681818351149559,0.994318187236786,4,"(sentiment, pronouns)","('pronouns', 'sentiment')"
pronouns,sports,auto,sae ablation,sports,1.0,1.0,1.0,0.88958340883255,0.11041667312383652,1.0,0.0,42,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')"
pronouns,sports,auto,sae ablation,sports,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')"
pronouns,sports,auto,sae ablation,sports,1.0,1.0,0.9937500357627868,0.975000023841858,0.02500000037252903,1.0,0.0,2,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')"
pronouns,sports,auto,sae ablation,sports,1.0,1.0,1.0,0.8812500238418579,0.11874999850988388,1.0,0.0,3,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')"
pronouns,sports,auto,sae ablation,sports,1.0,1.0,1.0,0.9937500357627868,0.0062500000931322575,1.0,0.0,4,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')"
pronouns,sports,auto,sae ablation,pronouns,1.0,0.22500000894069672,1.0,0.15625,0.24791668355464935,1.0,0.0,42,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')"
pronouns,sports,auto,sae ablation,pronouns,1.0,0.21250000596046448,1.0,0.08125000447034836,0.3083333671092987,1.0,0.0,1,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')"
pronouns,sports,auto,sae ablation,pronouns,1.0,0.12916667759418488,1.0,0.09375,0.20624999701976776,1.0,0.0,2,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')"
pronouns,sports,auto,sae ablation,pronouns,1.0,0.18958334624767303,1.0,0.04374999925494194,0.2458333522081375,1.0,0.0,3,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')"
pronouns,sports,auto,sae ablation,pronouns,1.0,0.2645833492279053,1.0,0.1666666716337204,0.3083333671092987,1.0,0.0,4,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')"
sports,pronouns,auto,sae ablation,pronouns,1.0,1.0,1.0,0.5979167222976685,0.4020833671092987,0.7166666984558105,0.28333336114883423,42,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')"
sports,pronouns,auto,sae ablation,pronouns,1.0,1.0,1.0,0.14374999701976776,0.856249988079071,0.10625000298023224,0.893750011920929,1,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')"
sports,pronouns,auto,sae ablation,sports,1.0,1.0,1.0,0.012500000186264517,0.987500011920929,0.0,1.0,42,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')"
sports,pronouns,auto,sae ablation,pronouns,1.0,0.9937500357627868,0.987500011920929,0.912500023841858,0.08749999850988388,0.927083432674408,0.0729166716337204,2,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')"
sports,pronouns,auto,sae ablation,sports,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')"
sports,pronouns,auto,sae ablation,pronouns,1.0,1.0,1.0,0.5791667103767395,0.4208333492279053,0.7479166984558105,0.25208336114883423,3,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')"
sports,pronouns,auto,sae ablation,sports,1.0,1.0,1.0,0.01875000074505806,0.981249988079071,0.0,1.0,2,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')"
sports,pronouns,auto,sae ablation,pronouns,1.0,0.9937500357627868,0.9937500357627868,0.6958333849906921,0.30416667461395264,0.8062500357627869,0.19375000894069672,4,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')"
sports,pronouns,auto,sae ablation,sports,1.0,1.0,1.0,0.0062500000931322575,0.9937500357627868,0.0,1.0,3,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')"
sports,pronouns,auto,sae ablation,sports,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')"
sentiment,sports,auto,sae ablation,sports,1.0,0.987500011920929,0.95208340883255,0.10000000149011612,0.9000000357627869,0.3958333432674408,0.6041666865348816,42,"(sentiment, [XXX]/sports-gemma-2-2b-top-1000)","('sentiment', 'sports')"
sentiment,sports,auto,sae ablation,sports,1.0,1.0,0.981249988079071,0.15416668355464935,0.845833420753479,0.3854166865348816,0.6145833730697632,1,"(sentiment, [XXX]/sports-gemma-2-2b-top-1000)","('sentiment', 'sports')"
sentiment,sports,auto,sae ablation,sports,1.0,0.9937500357627868,0.975000023841858,0.09375,0.90625,0.4312500059604645,0.5687500238418579,2,"(sentiment, [XXX]/sports-gemma-2-2b-top-1000)","('sentiment', 'sports')"
sentiment,sports,auto,sae ablation,sports,1.0,1.0,0.9645833969116212,0.09375,0.90625,0.375,0.625,3,"(sentiment, [XXX]/sports-gemma-2-2b-top-1000)","('sentiment', 'sports')"
sentiment,sports,auto,sae ablation,sports,1.0,0.9937500357627868,0.9625000357627868,0.05416667088866234,0.945833384990692,0.2916666865348816,0.7083333730697632,4,"(sentiment, [XXX]/sports-gemma-2-2b-top-1000)","('sentiment', 'sports')"
sports,sentiment,auto,sae ablation,sports,1.0,0.9937500357627868,0.975000023841858,0.82708340883255,0.17291668057441711,0.35625001788139343,0.643750011920929,42,"([XXX]/sports-gemma-2-2b-top-1000, sentiment)","('sentiment', 'sports')"
sports,sentiment,auto,sae ablation,sports,0.9166666865348816,1.0,0.981249988079071,0.824999988079071,0.17499999701976776,0.46666669845581055,0.5333333611488342,1,"([XXX]/sports-gemma-2-2b-top-1000, sentiment)","('sentiment', 'sports')"
sports,sentiment,auto,sae ablation,sports,1.0,0.9937500357627868,0.981249988079071,0.927083432674408,0.0729166716337204,0.5645833611488342,0.43541669845581055,2,"([XXX]/sports-gemma-2-2b-top-1000, sentiment)","('sentiment', 'sports')"
sports,sentiment,auto,sae ablation,sports,1.0,1.0,0.9666666984558104,0.90625,0.09375,0.4437499940395355,0.5562500357627869,3,"([XXX]/sports-gemma-2-2b-top-1000, sentiment)","('sentiment', 'sports')"
sports,sentiment,auto,sae ablation,sports,1.0,0.9937500357627868,0.96875,0.9000000357627869,0.10000000149011612,0.42500001192092896,0.574999988079071,4,"([XXX]/sports-gemma-2-2b-top-1000, sentiment)","('sentiment', 'sports')"