dataset_a,dataset_b,intervention,ablated_dataset,train_accuracy,val_accuracy,val_intervention_accuracy,test_accuracy,test_accuracy_flipped,test_intervention_accuracy,test_intervention_accuracy_flipped,seed,dataset_pair,sorted_pair,pair
verbs,pronouns,sae ablation,pronouns,1.0,0.8947368264198303,1.0,0.1074561476707458,0.8925439119338989,0.0,1.0,42,"(hc-mats/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')"
verbs,pronouns,sae ablation,pronouns,1.0,0.8980263471603394,1.0,0.1524122953414917,0.8475877642631531,0.0,1.0,1,"(hc-mats/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')"
verbs,pronouns,sae ablation,pronouns,1.0,0.921052634716034,1.0,0.0767543911933898,0.9232456684112548,0.0,1.0,2,"(hc-mats/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')"
verbs,pronouns,sae ablation,pronouns,1.0,0.9276315569877625,1.0,0.0723684206604957,0.9276315569877625,0.0,1.0,3,"(hc-mats/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')"
verbs,pronouns,sae ablation,pronouns,1.0,0.9199562072753906,1.0,0.0800438597798347,0.9199562072753906,0.0,1.0,4,"(hc-mats/subject-verb-agreement, pronouns)","('verbs', 'pronouns')","('verbs', 'pronouns')"
pronouns,verbs,sae ablation,pronouns,1.0,0.7916666865348816,1.0,0.6885965466499329,0.3114035129547119,1.0,0.0,42,"(pronouns, hc-mats/subject-verb-agreement)","('verbs', 'pronouns')","('pronouns', 'verbs')"
pronouns,verbs,sae ablation,pronouns,1.0,0.7642544507980347,1.0,0.6381579041481018,0.3618420958518982,0.9967105388641356,0.003289473708719,1,"(pronouns, hc-mats/subject-verb-agreement)","('verbs', 'pronouns')","('pronouns', 'verbs')"
pronouns,verbs,sae ablation,pronouns,1.0,0.7280701994895935,1.0,0.6217105388641357,0.3782894909381866,1.0,0.0,2,"(pronouns, hc-mats/subject-verb-agreement)","('verbs', 'pronouns')","('pronouns', 'verbs')"
pronouns,verbs,sae ablation,pronouns,1.0,0.8157894611358643,1.0,0.6677631735801697,0.3322368562221527,1.0,0.0,3,"(pronouns, hc-mats/subject-verb-agreement)","('verbs', 'pronouns')","('pronouns', 'verbs')"
pronouns,verbs,sae ablation,pronouns,1.0,0.7916666865348816,1.0,0.7280701994895935,0.2719298303127289,1.0,0.0,4,"(pronouns, hc-mats/subject-verb-agreement)","('verbs', 'pronouns')","('pronouns', 'verbs')"
verbs,sentiment,sae ablation,verbs,1.0,0.9772727489471436,0.9659091234207152,0.0795454531908035,0.9204545617103576,0.0625,0.9375,42,"(hc-mats/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,sentiment,1.0,0.994318187236786,1.0,0.9772727489471436,0.0227272734045982,1.0,0.0,42,"(hc-mats/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,verbs,1.0,0.9602273106575012,0.9602273106575012,0.0852272734045982,0.9147727489471436,0.1022727340459823,0.8977273106575012,1,"(hc-mats/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,sentiment,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,"(hc-mats/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,verbs,1.0,0.9699676036834716,0.9772727489471436,0.0852272734045982,0.9147727489471436,0.1079545468091964,0.8920454978942871,2,"(hc-mats/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,sentiment,1.0,0.994318187236786,0.994318187236786,1.0,0.0,1.0,0.0,2,"(hc-mats/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,verbs,1.0,0.9537338018417358,0.9715909361839294,0.0965909138321876,0.9034091234207152,0.1079545468091964,0.8920454978942871,3,"(hc-mats/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,sentiment,1.0,0.994318187236786,0.994318187236786,0.9829545617103576,0.0170454550534486,1.0,0.0,3,"(hc-mats/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,verbs,0.9375,0.9423701763153076,0.9366883635520936,0.1534090936183929,0.8465909361839294,0.1534090936183929,0.8465909361839294,4,"(hc-mats/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,sae ablation,sentiment,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4,"(hc-mats/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
sentiment,verbs,sae ablation,sentiment,1.0,0.994318187236786,1.0,0.0170454550534486,0.9829545617103576,0.0,1.0,42,"(sentiment, hc-mats/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,sae ablation,verbs,1.0,0.9659091234207152,0.9545454978942872,0.8693181872367859,0.1306818276643753,0.886363685131073,0.1136363670229911,42,"(sentiment, hc-mats/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,sae ablation,sentiment,1.0,1.0,1.0,0.0056818183511495,0.994318187236786,0.0,1.0,1,"(sentiment, hc-mats/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,sae ablation,verbs,1.0,0.9480519890785216,0.9423701763153076,0.9431818723678588,0.0568181835114955,0.9431818723678588,0.0568181835114955,1,"(sentiment, hc-mats/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,sae ablation,sentiment,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2,"(sentiment, hc-mats/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,sae ablation,verbs,1.0,0.948863685131073,0.9431818723678588,0.9147727489471436,0.0852272734045982,0.8977273106575012,0.1022727340459823,2,"(sentiment, hc-mats/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,sae ablation,sentiment,1.0,1.0,1.0,0.0056818183511495,0.994318187236786,0.0,1.0,3,"(sentiment, hc-mats/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,sae ablation,verbs,1.0,0.9886363744735718,0.9829545617103576,0.8920454978942871,0.1079545468091964,0.8636363744735718,0.1363636404275894,3,"(sentiment, hc-mats/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,sae ablation,sentiment,1.0,1.0,1.0,0.0454545468091964,0.9545454978942872,0.0,1.0,4,"(sentiment, hc-mats/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,sae ablation,verbs,1.0,0.9772727489471436,0.9829545617103576,0.9034091234207152,0.0965909138321876,0.931818187236786,0.0681818202137947,4,"(sentiment, hc-mats/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
verbs,sports,sae ablation,sports,1.0,1.0,1.0,1.0,0.0,1.0,0.0,42,"(hc-mats/subject-verb-agreement, hc-mats/sports-gemma-2-2b-top-1000)","('verbs', 'sports')","('verbs', 'sports')"
verbs,sports,sae ablation,sports,1.0,1.0,1.0,0.9312500357627868,0.0687500014901161,1.0,0.0,1,"(hc-mats/subject-verb-agreement, hc-mats/sports-gemma-2-2b-top-1000)","('verbs', 'sports')","('verbs', 'sports')"
verbs,sports,sae ablation,sports,1.0,1.0,1.0,0.9937500357627868,0.0062500000931322,1.0,0.0,2,"(hc-mats/subject-verb-agreement, hc-mats/sports-gemma-2-2b-top-1000)","('verbs', 'sports')","('verbs', 'sports')"
verbs,sports,sae ablation,sports,1.0,1.0,1.0,0.9166666865348816,0.0833333358168602,1.0,0.0,3,"(hc-mats/subject-verb-agreement, hc-mats/sports-gemma-2-2b-top-1000)","('verbs', 'sports')","('verbs', 'sports')"
verbs,sports,sae ablation,sports,1.0,1.0,1.0,0.981249988079071,0.018750000745058,0.9937500357627868,0.0062500000931322,4,"(hc-mats/subject-verb-agreement, hc-mats/sports-gemma-2-2b-top-1000)","('verbs', 'sports')","('verbs', 'sports')"
sports,verbs,sae ablation,sports,1.0,1.0,0.9937500357627868,0.0125000001862645,0.987500011920929,0.0062500000931322,0.9937500357627868,42,"(hc-mats/sports-gemma-2-2b-top-1000, hc-mats/subject-verb-agreement)","('verbs', 'sports')","('sports', 'verbs')"
sports,verbs,sae ablation,sports,1.0,0.9937500357627868,0.981249988079071,0.025000000372529,0.975000023841858,0.0062500000931322,0.9937500357627868,1,"(hc-mats/sports-gemma-2-2b-top-1000, hc-mats/subject-verb-agreement)","('verbs', 'sports')","('sports', 'verbs')"
sports,verbs,sae ablation,sports,1.0,1.0,1.0,0.0375000014901161,0.9625000357627868,0.0062500000931322,0.9937500357627868,2,"(hc-mats/sports-gemma-2-2b-top-1000, hc-mats/subject-verb-agreement)","('verbs', 'sports')","('sports', 'verbs')"
sports,verbs,sae ablation,sports,1.0,0.9937500357627868,0.981249988079071,0.025000000372529,0.975000023841858,0.0,1.0,3,"(hc-mats/sports-gemma-2-2b-top-1000, hc-mats/subject-verb-agreement)","('verbs', 'sports')","('sports', 'verbs')"
sports,verbs,sae ablation,sports,1.0,1.0,1.0,0.0062500000931322,0.9937500357627868,0.0,1.0,4,"(hc-mats/sports-gemma-2-2b-top-1000, hc-mats/subject-verb-agreement)","('verbs', 'sports')","('sports', 'verbs')"
pronouns,sentiment,sae ablation,pronouns,1.0,0.9886363744735718,1.0,0.823863685131073,0.1761363744735717,0.9886363744735718,0.0113636367022991,42,"(pronouns, sentiment)","('pronouns', 'sentiment')","('pronouns', 'sentiment')"
pronouns,sentiment,sae ablation,pronouns,1.0,0.9764611124992372,0.994318187236786,0.7102273106575012,0.2897727489471435,0.9261363744735718,0.0738636404275894,1,"(pronouns, sentiment)","('pronouns', 'sentiment')","('pronouns', 'sentiment')"
pronouns,sentiment,sae ablation,pronouns,1.0,0.9715909361839294,1.0,0.7215909361839294,0.2784090936183929,1.0,0.0,2,"(pronouns, sentiment)","('pronouns', 'sentiment')","('pronouns', 'sentiment')"
pronouns,sentiment,sae ablation,pronouns,1.0,0.9772727489471436,1.0,0.8125,0.1875,1.0,0.0,3,"(pronouns, sentiment)","('pronouns', 'sentiment')","('pronouns', 'sentiment')"
pronouns,sentiment,sae ablation,pronouns,1.0,0.9131494164466858,1.0,0.6420454978942871,0.3579545617103576,0.9886363744735718,0.0113636367022991,4,"(pronouns, sentiment)","('pronouns', 'sentiment')","('pronouns', 'sentiment')"
sentiment,pronouns,sae ablation,pronouns,1.0,1.0,1.0,0.0,1.0,0.0,1.0,42,"(sentiment, pronouns)","('pronouns', 'sentiment')","('sentiment', 'pronouns')"
sentiment,pronouns,sae ablation,pronouns,1.0,1.0,1.0,0.0,1.0,0.0056818183511495,0.994318187236786,1,"(sentiment, pronouns)","('pronouns', 'sentiment')","('sentiment', 'pronouns')"
sentiment,pronouns,sae ablation,pronouns,1.0,1.0,1.0,0.0113636367022991,0.9886363744735718,0.0056818183511495,0.994318187236786,2,"(sentiment, pronouns)","('pronouns', 'sentiment')","('sentiment', 'pronouns')"
sentiment,pronouns,sae ablation,pronouns,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3,"(sentiment, pronouns)","('pronouns', 'sentiment')","('sentiment', 'pronouns')"
sentiment,pronouns,sae ablation,pronouns,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4,"(sentiment, pronouns)","('pronouns', 'sentiment')","('sentiment', 'pronouns')"
pronouns,sports,sae ablation,sports,1.0,1.0,1.0,0.895833432674408,0.104166679084301,1.0,0.0,42,"(pronouns, hc-mats/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,sae ablation,pronouns,1.0,0.975000023841858,0.975000023841858,0.045833334326744,0.9541667103767396,0.0583333373069763,0.9416667222976683,42,"(pronouns, hc-mats/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,sae ablation,sports,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,"(pronouns, hc-mats/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,sae ablation,pronouns,1.0,0.9937500357627868,0.9937500357627868,0.018750000745058,0.981249988079071,0.03125,0.96875,1,"(pronouns, hc-mats/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,sae ablation,sports,1.0,1.0,0.9937500357627868,0.9937500357627868,0.0062500000931322,1.0,0.0,2,"(pronouns, hc-mats/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,sae ablation,pronouns,1.0,0.9937500357627868,1.0,0.0291666686534881,0.970833420753479,0.0479166693985462,0.95208340883255,2,"(pronouns, hc-mats/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,sae ablation,sports,1.0,1.0,1.0,0.9937500357627868,0.0062500000931322,1.0,0.0,3,"(pronouns, hc-mats/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,sae ablation,pronouns,1.0,0.987500011920929,1.0,0.045833334326744,0.9541667103767396,0.0520833395421505,0.9479166865348816,3,"(pronouns, hc-mats/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,sae ablation,sports,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4,"(pronouns, hc-mats/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,sae ablation,pronouns,1.0,1.0,1.0,0.0375000014901161,0.9625000357627868,0.050000000745058,0.949999988079071,4,"(pronouns, hc-mats/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
sports,pronouns,sae ablation,sports,1.0,1.0,1.0,0.0125000001862645,0.987500011920929,0.0,1.0,42,"(hc-mats/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,sae ablation,pronouns,1.0,0.9937500357627868,1.0,0.6416667103767395,0.3583333492279053,0.7270833849906921,0.2729166746139526,42,"(hc-mats/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,sae ablation,sports,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,"(hc-mats/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,sae ablation,pronouns,1.0,1.0,1.0,0.479166716337204,0.5208333730697632,0.5916666984558105,0.4083333611488342,1,"(hc-mats/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,sae ablation,sports,1.0,1.0,1.0,0.018750000745058,0.981249988079071,0.0,1.0,2,"(hc-mats/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,sae ablation,pronouns,1.0,1.0,1.0,0.8062500357627869,0.1937500089406967,0.893750011920929,0.1062500029802322,2,"(hc-mats/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,sae ablation,sports,1.0,1.0,1.0,0.0062500000931322,0.9937500357627868,0.0,1.0,3,"(hc-mats/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,sae ablation,pronouns,1.0,1.0,1.0,0.7166666984558105,0.2833333611488342,0.8604167103767395,0.139583334326744,3,"(hc-mats/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,sae ablation,sports,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4,"(hc-mats/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,sae ablation,pronouns,1.0,1.0,1.0,0.7895833849906921,0.2104166746139526,0.88958340883255,0.1104166731238365,4,"(hc-mats/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sentiment,sports,sae ablation,sports,1.0,0.9937500357627868,0.975000023841858,0.0812500044703483,0.918749988079071,0.441666692495346,0.5583333373069763,42,"(sentiment, hc-mats/sports-gemma-2-2b-top-1000)","('sentiment', 'sports')","('sentiment', 'sports')"
sentiment,sports,sae ablation,sports,1.0,1.0,0.981249988079071,0.2770833671092987,0.7229167222976685,0.5250000357627869,0.4749999940395355,1,"(sentiment, hc-mats/sports-gemma-2-2b-top-1000)","('sentiment', 'sports')","('sentiment', 'sports')"
sentiment,sports,sae ablation,sports,1.0,0.9937500357627868,0.96875,0.1166666746139526,0.8833333849906921,0.3395833671092987,0.6604167222976685,2,"(sentiment, hc-mats/sports-gemma-2-2b-top-1000)","('sentiment', 'sports')","('sentiment', 'sports')"
sentiment,sports,sae ablation,sports,1.0,1.0,0.975000023841858,0.09375,0.90625,0.3499999940395355,0.6500000357627869,3,"(sentiment, hc-mats/sports-gemma-2-2b-top-1000)","('sentiment', 'sports')","('sentiment', 'sports')"
sentiment,sports,sae ablation,sports,1.0,0.981249988079071,0.96875,0.0479166693985462,0.95208340883255,0.2666666805744171,0.7333333492279053,4,"(sentiment, hc-mats/sports-gemma-2-2b-top-1000)","('sentiment', 'sports')","('sentiment', 'sports')"
sports,sentiment,sae ablation,sports,1.0,0.9937500357627868,0.975000023841858,0.82708340883255,0.1729166805744171,0.3562500178813934,0.643750011920929,42,"(hc-mats/sports-gemma-2-2b-top-1000, sentiment)","('sentiment', 'sports')","('sports', 'sentiment')"
sports,sentiment,sae ablation,sports,0.9166666865348816,1.0,0.981249988079071,0.824999988079071,0.1749999970197677,0.4666666984558105,0.5333333611488342,1,"(hc-mats/sports-gemma-2-2b-top-1000, sentiment)","('sentiment', 'sports')","('sports', 'sentiment')"
sports,sentiment,sae ablation,sports,1.0,0.9937500357627868,0.981249988079071,0.927083432674408,0.0729166716337204,0.5645833611488342,0.4354166984558105,2,"(hc-mats/sports-gemma-2-2b-top-1000, sentiment)","('sentiment', 'sports')","('sports', 'sentiment')"
sports,sentiment,sae ablation,sports,1.0,1.0,0.9666666984558104,0.90625,0.09375,0.4437499940395355,0.5562500357627869,3,"(hc-mats/sports-gemma-2-2b-top-1000, sentiment)","('sentiment', 'sports')","('sports', 'sentiment')"
sports,sentiment,sae ablation,sports,1.0,0.9937500357627868,0.96875,0.9000000357627869,0.1000000014901161,0.4250000119209289,0.574999988079071,4,"(hc-mats/sports-gemma-2-2b-top-1000, sentiment)","('sentiment', 'sports')","('sports', 'sentiment')"
